Node Type,Relation Name,Plan Rows,Actual Rows,Join Index,Query Name,Startup Cost,Total Cost,Actual Startup Time,Actual Total Time,outer_rel,inner_rel,outer_est,inner_est,outer_act,inner_act
Seq Scan,movie_info_idx,575015,460012,,./JOB-queries/13b.sql,0.0,13685.15,0.487,346.413,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/13b.sql,0.0,2.41,0.016,0.017,,,,,,
Hash,,1,1,,./JOB-queries/13b.sql,2.41,2.41,0.023,0.023,info_type,,1.0,,1.0,
Hash Join,,5089,153308,1.0,./JOB-queries/13b.sql,2.43,15253.6,0.536,379.816,movie_info_idx,,575015.0,1.0,460012.0,1.0
Index Scan,title,1,0,,./JOB-queries/13b.sql,0.43,0.59,0.013,0.013,,,,,,
Nested Loop,,1,117,2.0,./JOB-queries/13b.sql,2.86,18232.82,110.648,2326.686,,title,5089.0,1.0,153308.0,0.0
Index Scan,kind_type,1,0,,./JOB-queries/13b.sql,0.13,0.18,0.023,0.023,,,,,,
Memoize,,1,0,,./JOB-queries/13b.sql,0.14,0.19,0.002,0.002,kind_type,,1.0,,0.0,
Nested Loop,,1,30,3.0,./JOB-queries/13b.sql,3.0,18233.02,1599.453,2326.931,,,1.0,1.0,117.0,0.0
Index Scan,movie_companies,5,3,,./JOB-queries/13b.sql,0.43,0.59,0.352,0.45,,,,,,
Nested Loop,,1,104,4.0,./JOB-queries/13b.sql,3.43,18233.66,1600.191,2340.463,,movie_companies,1.0,5.0,30.0,3.0
Index Scan,company_type,1,0,,./JOB-queries/13b.sql,0.13,0.15,0.06,0.06,,,,,,
Memoize,,1,0,,./JOB-queries/13b.sql,0.14,0.16,0.001,0.001,company_type,,1.0,,0.0,
Nested Loop,,1,39,5.0,./JOB-queries/13b.sql,3.57,18233.83,1600.594,2340.622,,,1.0,1.0,104.0,0.0
Index Scan,company_name,1,1,,./JOB-queries/13b.sql,0.42,0.45,0.376,0.376,,,,,,
Nested Loop,,1,20,6.0,./JOB-queries/13b.sql,3.99,18234.28,1631.65,2355.315,,company_name,1.0,1.0,39.0,1.0
Index Scan,movie_info,40,35,,./JOB-queries/13b.sql,0.43,1.41,0.393,2.292,,,,,,
Nested Loop,,2,707,7.0,./JOB-queries/13b.sql,4.42,18236.19,1632.666,2401.997,,movie_info,1.0,40.0,20.0,35.0
Index Scan,info_type,1,0,,./JOB-queries/13b.sql,0.14,0.16,0.001,0.001,,,,,,
Nested Loop,,1,124,8.0,./JOB-queries/13b.sql,4.57,18236.54,1633.779,2402.608,,info_type,2.0,1.0,707.0,0.0
Gather,,1,372,,./JOB-queries/13b.sql,1004.57,19236.64,1676.041,2411.798,,,1.0,,124.0,
Aggregate,,1,1,,./JOB-queries/13b.sql,19236.65,19236.66,2411.05,2412.381,,,1.0,,372.0,
Seq Scan,keyword,13,30,,./JOB-queries/3c.sql,0.0,2626.12,2.177,18.403,,,,,,
Bitmap Index Scan,,303,432,,./JOB-queries/3c.sql,0.0,6.71,0.288,0.288,,,,,,
Bitmap Heap Scan,movie_keyword,303,432,,./JOB-queries/3c.sql,6.78,1044.2,0.386,37.958,,,303.0,,432.0,
Nested Loop,,438,12951,1.0,./JOB-queries/3c.sql,6.78,16240.14,5.148,1158.312,keyword,movie_keyword,13.0,303.0,30.0,432.0
Index Scan,title,1,1,,./JOB-queries/3c.sql,0.43,0.49,0.095,0.095,,,,,,
Nested Loop,,305,7874,2.0,./JOB-queries/3c.sql,7.21,16454.67,5.407,2386.466,,title,438.0,1.0,12951.0,1.0
Index Scan,movie_info,2,1,,./JOB-queries/3c.sql,0.46,1.52,0.903,1.023,,,,,,
Nested Loop,,553,7250,3.0,./JOB-queries/3c.sql,7.67,16925.81,13.59,10445.954,,movie_info,305.0,2.0,7874.0,1.0
Aggregate,,1,1,,./JOB-queries/3c.sql,16927.19,16927.2,10451.71,10451.711,,,553.0,,7250.0,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/29c.sql,0.0,1.05,0.004,0.005,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/29c.sql,0.0,2.41,0.003,0.006,,,,,,
Seq Scan,info_type,1,1,,./JOB-queries/29c.sql,0.0,2.41,0.002,0.009,,,,,,
Seq Scan,keyword,1,1,,./JOB-queries/29c.sql,0.0,2626.12,0.629,7.817,,,,,,
Bitmap Index Scan,,303,414,,./JOB-queries/29c.sql,0.0,6.71,0.417,0.418,,,,,,
Bitmap Heap Scan,movie_keyword,303,414,,./JOB-queries/29c.sql,6.78,1117.89,0.585,68.134,,,303.0,,414.0,
Nested Loop,,34,414,1.0,./JOB-queries/29c.sql,6.78,3747.04,1.216,76.036,keyword,movie_keyword,1.0,303.0,1.0,414.0
Index Scan,title,1,1,,./JOB-queries/29c.sql,0.43,2.14,0.219,0.219,,,,,,
Nested Loop,,14,249,2.0,./JOB-queries/29c.sql,7.21,3819.7,1.398,167.018,,title,34.0,1.0,414.0,1.0
Index Scan,movie_info,1,1,,./JOB-queries/29c.sql,0.43,36.96,1.452,2.852,,,,,,
Nested Loop,,1,357,3.0,./JOB-queries/29c.sql,7.65,4337.28,14.668,877.543,,movie_info,14.0,1.0,249.0,1.0
Nested Loop,,1,357,4.0,./JOB-queries/29c.sql,7.65,4339.71,14.67,877.606,info_type,,1.0,1.0,1.0,357.0
Index Scan,cast_info,1,21,,./JOB-queries/29c.sql,0.44,38.81,1.094,6.17,,,,,,
Nested Loop,,1,7505,5.0,./JOB-queries/29c.sql,8.09,4378.53,79.335,3081.199,,cast_info,1.0,1.0,357.0,21.0
Index Scan,char_name,1,1,,./JOB-queries/29c.sql,0.43,2.25,0.117,0.117,,,,,,
Nested Loop,,1,6420,6.0,./JOB-queries/29c.sql,8.52,4380.78,125.91,3961.174,,char_name,1.0,1.0,7505.0,1.0
Index Only Scan,aka_name,2,2,,./JOB-queries/29c.sql,0.42,1.26,0.022,0.023,,,,,,
Nested Loop,,2,12573,7.0,./JOB-queries/29c.sql,8.94,4382.06,158.245,4107.444,,aka_name,1.0,2.0,6420.0,2.0
Index Scan,person_info,25,47,,./JOB-queries/29c.sql,0.43,18.94,0.03,0.045,,,,,,
Nested Loop,,50,587601,8.0,./JOB-queries/29c.sql,9.37,4420.44,159.496,4711.144,,person_info,2.0,25.0,12573.0,47.0
Nested Loop,,1,175383,9.0,./JOB-queries/29c.sql,9.37,4423.47,159.502,4730.891,info_type,,1.0,50.0,1.0,587601.0
Index Scan,name,1,0,,./JOB-queries/29c.sql,0.43,2.22,0.004,0.004,,,,,,
Nested Loop,,1,6663,10.0,./JOB-queries/29c.sql,9.8,4425.71,633.405,5380.052,,name,1.0,1.0,175383.0,0.0
Index Scan,movie_companies,5,25,,./JOB-queries/29c.sql,0.43,4.72,0.002,0.004,,,,,,
Nested Loop,,1,169268,11.0,./JOB-queries/29c.sql,10.23,4430.49,634.121,5419.489,,movie_companies,1.0,5.0,6663.0,25.0
Index Scan,complete_cast,2,1,,./JOB-queries/29c.sql,0.42,2.78,0.0,0.0,,,,,,
Nested Loop,,1,149974,12.0,./JOB-queries/29c.sql,10.65,4433.29,760.553,5522.419,,complete_cast,1.0,2.0,169268.0,1.0
Nested Loop,,1,149974,13.0,./JOB-queries/29c.sql,10.65,4434.36,760.56,5529.68,comp_cast_type,,1.0,1.0,1.0,149974.0
Seq Scan,role_type,1,1,,./JOB-queries/29c.sql,0.0,1.15,0.0,0.0,,,,,,
Nested Loop,,1,149974,14.0,./JOB-queries/29c.sql,10.65,4435.52,760.583,5625.215,,role_type,1.0,1.0,149974.0,1.0
Index Scan,company_name,1,0,,./JOB-queries/29c.sql,0.42,2.03,0.001,0.001,,,,,,
Nested Loop,,1,28022,15.0,./JOB-queries/29c.sql,11.07,4437.55,761.793,5785.288,,company_name,1.0,1.0,149974.0,0.0
Seq Scan,comp_cast_type,1,1,,./JOB-queries/29c.sql,0.0,1.05,0.0,0.0,,,,,,
Nested Loop,,1,16308,16.0,./JOB-queries/29c.sql,11.07,4438.61,2599.93,5804.281,,comp_cast_type,1.0,1.0,28022.0,1.0
Aggregate,,1,1,,./JOB-queries/29c.sql,4438.62,4438.63,5811.391,5811.394,,,1.0,,16308.0,
Seq Scan,info_type,1,1,,./JOB-queries/29b.sql,0.0,2.41,0.006,0.009,,,,,,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/29b.sql,0.0,1.05,0.002,0.003,,,,,,
Seq Scan,comp_cast_type,1,1,,./JOB-queries/29b.sql,0.0,1.05,0.001,0.002,,,,,,
Seq Scan,keyword,1,1,,./JOB-queries/29b.sql,0.0,2626.12,0.178,5.404,,,,,,
Bitmap Index Scan,,303,414,,./JOB-queries/29b.sql,0.0,6.71,0.627,0.627,,,,,,
Bitmap Heap Scan,movie_keyword,303,414,,./JOB-queries/29b.sql,6.78,1117.89,0.791,59.572,,,303.0,,414.0,
Nested Loop,,34,414,1.0,./JOB-queries/29b.sql,6.78,3747.04,0.97,65.012,keyword,movie_keyword,1.0,303.0,1.0,414.0
Index Scan,title,1,0,,./JOB-queries/29b.sql,0.43,2.14,0.159,0.159,,,,,,
Memoize,,1,0,,./JOB-queries/29b.sql,0.44,2.15,0.159,0.159,title,,1.0,,0.0,
Nested Loop,,1,1,2.0,./JOB-queries/29b.sql,7.22,3820.63,124.992,130.954,,,34.0,1.0,414.0,0.0
Index Scan,cast_info,1,38,,./JOB-queries/29b.sql,0.44,38.76,0.016,0.327,,,,,,
Nested Loop,,1,38,3.0,./JOB-queries/29b.sql,7.66,3859.4,125.01,131.291,,cast_info,1.0,1.0,1.0,38.0
Index Scan,name,1,0,,./JOB-queries/29b.sql,0.43,2.35,0.239,0.239,,,,,,
Nested Loop,,1,1,4.0,./JOB-queries/29b.sql,8.09,3861.75,130.628,140.384,,name,1.0,1.0,38.0,0.0
Index Scan,movie_companies,5,22,,./JOB-queries/29b.sql,0.43,4.72,0.014,0.018,,,,,,
Nested Loop,,1,22,5.0,./JOB-queries/29b.sql,8.52,3866.54,130.647,140.408,,movie_companies,1.0,5.0,1.0,22.0
Index Scan,company_name,1,0,,./JOB-queries/29b.sql,0.42,2.03,0.005,0.005,,,,,,
Nested Loop,,1,5,6.0,./JOB-queries/29b.sql,8.94,3868.57,130.662,140.533,,company_name,1.0,1.0,22.0,0.0
Index Scan,complete_cast,2,1,,./JOB-queries/29b.sql,0.42,2.78,0.003,0.003,,,,,,
Nested Loop,,1,5,7.0,./JOB-queries/29b.sql,9.36,3871.37,130.674,140.554,,complete_cast,1.0,2.0,5.0,1.0
Nested Loop,,1,5,8.0,./JOB-queries/29b.sql,9.36,3872.43,130.677,140.558,comp_cast_type,,1.0,1.0,1.0,5.0
Nested Loop,,1,5,9.0,./JOB-queries/29b.sql,9.36,3873.5,130.681,140.565,comp_cast_type,,1.0,1.0,1.0,5.0
Seq Scan,role_type,1,1,,./JOB-queries/29b.sql,0.0,1.15,0.001,0.002,,,,,,
Nested Loop,,1,5,10.0,./JOB-queries/29b.sql,9.36,3874.66,130.688,140.58,,role_type,1.0,1.0,5.0,1.0
Index Scan,movie_info,1,1,,./JOB-queries/29b.sql,0.43,36.86,0.012,0.054,,,,,,
Nested Loop,,1,5,11.0,./JOB-queries/29b.sql,9.8,3911.53,130.71,140.853,,movie_info,1.0,1.0,5.0,1.0
Index Scan,person_info,25,163,,./JOB-queries/29b.sql,0.43,18.94,0.003,0.02,,,,,,
Nested Loop,,1,815,12.0,./JOB-queries/29b.sql,10.23,3930.78,130.723,141.011,,person_info,1.0,25.0,5.0,163.0
Nested Loop,,1,5,13.0,./JOB-queries/29b.sql,10.23,3933.21,130.755,141.042,info_type,,1.0,1.0,1.0,815.0
Seq Scan,info_type,1,1,,./JOB-queries/29b.sql,0.0,2.41,0.002,0.002,,,,,,
Nested Loop,,1,5,14.0,./JOB-queries/29b.sql,10.23,3935.63,130.761,141.061,,info_type,1.0,1.0,5.0,1.0
Index Only Scan,aka_name,2,3,,./JOB-queries/29b.sql,0.42,1.26,0.003,0.003,,,,,,
Nested Loop,,1,15,15.0,./JOB-queries/29b.sql,10.65,3936.92,130.774,141.082,,aka_name,1.0,2.0,5.0,3.0
Index Scan,char_name,1,1,,./JOB-queries/29b.sql,0.43,2.26,0.002,0.002,,,,,,
Nested Loop,,1,15,16.0,./JOB-queries/29b.sql,11.08,3941.0,130.792,141.114,,char_name,1.0,1.0,15.0,1.0
Aggregate,,1,1,,./JOB-queries/29b.sql,3941.01,3941.02,141.121,141.124,,,1.0,,15.0,
Index Scan,keyword,2,2,,./JOB-queries/25a.sql,0.42,4734.93,0.431,31.406,,,,,,
Bitmap Index Scan,,303,12419,,./JOB-queries/25a.sql,0.0,6.71,2.346,2.347,,,,,,
Bitmap Heap Scan,movie_keyword,303,12419,,./JOB-queries/25a.sql,6.78,1089.86,3.311,910.504,,,303.0,,12419.0,
Nested Loop,,70,20699,1.0,./JOB-queries/25a.sql,7.2,6920.7,3.331,1550.685,keyword,movie_keyword,2.0,303.0,2.0,12419.0
Index Scan,movie_info_idx,3,2,,./JOB-queries/25a.sql,0.43,0.75,0.02,0.021,,,,,,
Nested Loop,,213,50907,2.0,./JOB-queries/25a.sql,7.63,6975.65,3.569,1986.27,,movie_info_idx,70.0,3.0,20699.0,2.0
Seq Scan,info_type,1,1,,./JOB-queries/25a.sql,0.0,2.41,0.016,0.016,,,,,,
Hash,,1,1,,./JOB-queries/25a.sql,2.41,2.41,0.019,0.019,info_type,,1.0,,1.0,
Hash Join,,2,16920,3.0,./JOB-queries/25a.sql,10.05,6978.65,3.618,1991.744,,,213.0,1.0,50907.0,1.0
Index Scan,movie_info,1,0,,./JOB-queries/25a.sql,0.43,11.23,1.162,1.168,,,,,,
Nested Loop,,1,4087,4.0,./JOB-queries/25a.sql,10.49,7001.14,23.944,21759.322,,movie_info,2.0,1.0,16920.0,0.0
Gather,,1,12260,,./JOB-queries/25a.sql,1010.49,8001.24,7.214,15292.324,,,1.0,,4087.0,
Index Scan,cast_info,1,1,,./JOB-queries/25a.sql,0.44,15.59,8.282,10.137,,,,,,
Nested Loop,,1,7740,5.0,./JOB-queries/25a.sql,1010.93,8016.84,151.161,139573.001,,cast_info,1.0,1.0,12260.0,1.0
Index Scan,info_type,1,1,,./JOB-queries/25a.sql,0.14,0.16,0.001,0.001,,,,,,
Nested Loop,,1,7112,6.0,./JOB-queries/25a.sql,1011.07,8017.03,151.179,139585.726,,info_type,1.0,1.0,7740.0,1.0
Index Scan,name,1,1,,./JOB-queries/25a.sql,0.43,1.09,0.725,0.725,,,,,,
Nested Loop,,1,4407,7.0,./JOB-queries/25a.sql,1011.5,8018.12,1381.709,144746.058,,name,1.0,1.0,7112.0,1.0
Index Scan,title,1,1,,./JOB-queries/25a.sql,0.43,0.84,0.274,0.274,,,,,,
Nested Loop,,1,4407,8.0,./JOB-queries/25a.sql,1011.93,8018.97,1383.314,145956.126,,title,1.0,1.0,4407.0,1.0
Aggregate,,1,1,,./JOB-queries/25a.sql,8018.98,8018.99,145969.799,145969.865,,,1.0,,4407.0,
Index Scan,info_type,1,1,,./JOB-queries/33a.sql,0.14,14.12,0.008,0.01,,,,,,
Index Scan,movie_info_idx,1380035,63901,,./JOB-queries/33a.sql,0.43,39730.0,0.136,16.987,,,,,,
Seq Scan,movie_link,29997,29997,,./JOB-queries/33a.sql,0.0,462.97,0.114,6.362,,,,,,
Seq Scan,link_type,3,2,,./JOB-queries/33a.sql,0.0,1.25,0.003,0.005,,,,,,
Hash,,3,2,,./JOB-queries/33a.sql,1.25,1.25,0.007,0.007,link_type,,3.0,,2.0,
Hash Join,,5000,2315,1.0,./JOB-queries/33a.sql,1.29,561.53,0.13,7.568,movie_link,,29997.0,3.0,29997.0,2.0
Sort,,5000,6443,,./JOB-queries/33a.sql,868.72,881.22,7.756,7.959,,,5000.0,,2315.0,
Merge Join,,15117,6192,2.0,./JOB-queries/33a.sql,869.16,3041.38,7.9,27.261,movie_info_idx,,1380035.0,5000.0,63901.0,6443.0
Seq Scan,info_type,1,1,,./JOB-queries/33a.sql,0.0,2.41,0.006,0.006,,,,,,
